In |Black   |             Changed by black put              |White   |             Changed by white put              |St.St |Ma.Dsc|
dex| Movable|    1|    2|    3|    4|    5|    6|    7|    8| Movable|    1|    2|    3|    4|    5|    6|    7|    8|B|W|Df|B|W|Df|
---+--------+-----+-----+-----+-----+-----+-----+-----+-----+--------+-----+-----+-----+-----+-----+-----+-----+-----+-+-+--+-+-+--+
0022 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 02000000 (0,0) (0,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 5 -5 0 1 -1 EEBWWWWW
0023 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 02000000 (0,0) (0,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 5 -4 0 1 -1 BEBWWWWW
0024 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 6 -6 0 0  0 WBBWWWWW
0025 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 20000000 (0,2) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 5 -5 0 1 -1 EBBWWWWW
0026 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 3 5 -2 0 0  0 BBBWWWWW
0027 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 7 -7 0 0  0 WWWEWWWW
0028 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 0 0  0 EWWEWWWW
0029 00010000 (0,0) (0,0) (0,0) (2,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 4 -3 1 0  1 BWWEWWWW
0030 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 5 -5 0 0  0 WEWEWWWW
0031 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 0 0  0 EEWEWWWW
