In |                                    stage                                          |
dex|     1|     2|     3|     4|     5|     6|     7|     8|     9|    10|    11|    12|
---+------+------+------+------+------+------+------+------+------+------+------+------+
0000  0.000  0.000  0.947  3.291  3.618  3.264  2.333  1.510  1.013  0.162 -2.284 -4.543 WWWWWWWW
0001  0.000  0.614  2.766  2.734  2.312  1.904  1.784  1.584  1.235  0.399 -2.084 -3.586 EWWWWWWW
0002  0.000  0.000  0.000  1.913  2.907  2.184  1.877  0.778  0.899  0.530 -0.171 -3.217 BWWWWWWW
0003  0.000  0.000  1.000  3.201  3.962  2.996  3.968  2.617  1.103 -0.270 -3.362 -3.845 WEWWWWWW
0004  0.000  1.158  2.192  1.973  1.895  2.210  2.570  2.001  1.209 -1.054 -4.407 -2.835 EEWWWWWW
0005  0.000  0.000  0.571  1.369  2.002  1.690  2.311  1.999  2.234 -0.095 -3.659 -3.647 BEWWWWWW
0006  0.000  0.000  0.857  3.740  1.907  1.910  1.700  0.906  0.415 -0.360 -1.703 -3.950 WBWWWWWW
0007  0.000  0.000  0.823  0.880  0.548  0.288  0.740  0.633 -0.806 -1.972 -3.583 -3.819 EBWWWWWW
0008  0.000  0.000  1.000 -0.211  1.474  0.495  1.163  0.769  0.521  0.029 -0.750 -2.342 BBWWWWWW
0009  0.000  0.000  0.000  0.000  1.417  3.033  2.633  2.006 -0.636 -2.825 -4.082 -3.233 WWEWWWWW
0010  0.000  0.889  4.124  3.165  3.812  3.866  3.775  1.056  1.055  0.083 -3.133  0.000 EWEWWWWW
0011  0.000  0.000  0.000  0.500  1.533  1.680  3.299  2.840  2.441  1.317 -0.500 -0.500 BWEWWWWW
0012  0.000  0.000  0.000  0.000  1.667  2.608  1.527 -1.028 -3.045 -4.064 -2.921 -2.133 WEEWWWWW
0013  0.000  2.101  2.226  2.409  2.397  2.193  1.782  0.291 -2.493 -4.367 -4.160  0.000 EEEWWWWW
0014  0.000  0.000  0.250  2.357  3.243  3.314  3.945  3.572 -0.567 -3.618 -4.155 -0.500 BEEWWWWW
0015  0.000  0.000  0.000  0.000  0.000  1.667  1.800  2.224 -2.317 -4.385 -4.513 -3.256 WBEWWWWW
0016  0.000  0.000  2.182  2.775  1.503  2.370  1.496 -1.037 -2.364 -4.167 -4.097 -1.250 EBEWWWWW
0017  0.000  0.000  0.000 -1.500 -1.775  0.300  2.003  2.901  1.152  0.917 -1.667  0.000 BBEWWWWW
0018  0.000  0.000  0.000  3.215  3.510  3.086  2.931  1.750  1.416  0.715 -0.768 -3.582 WWBWWWWW
0019  0.000  0.000  4.123  3.293  1.671  1.110  1.318  1.478  0.689 -0.000 -0.742 -2.468 EWBWWWWW
0020  0.000  0.000  0.000 -0.500  0.870  1.749  1.757  0.865  1.082  1.373  0.423 -2.095 BWBWWWWW
0021  0.000  0.000  0.000  0.580  3.127  3.232  1.605  0.865 -1.256 -3.440 -4.717 -3.891 WEBWWWWW
0022  0.000  0.968  1.739  0.883  0.660  0.677  0.038 -1.842 -2.591 -4.207 -4.792 -2.878 EEBWWWWW
0023  0.000  0.000  0.000 -3.115 -1.311  1.090  1.153 -0.151 -1.273 -3.213 -4.549 -3.803 BEBWWWWW
0024  0.000  0.000  0.000 -0.250  1.797  2.126  1.229  0.869  0.589 -0.190 -1.663 -3.484 WBBWWWWW
0025  0.000  0.000  0.948  0.020  0.343 -0.770 -0.406  0.029 -1.316 -2.393 -3.709 -3.509 EBBWWWWW
0026  0.000  0.000 -0.250  0.370  0.405  0.181  0.900  0.841  0.537  0.121 -0.307 -1.608 BBBWWWWW
0027  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 WWWEWWWW
0028  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 EWWEWWWW
0029  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 BWWEWWWW
0030  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 WEWEWWWW
0031  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 EEWEWWWW
0032  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 BEWEWWWW
0033  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 WBWEWWWW
0034  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 EBWEWWWW
0035  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 BBWEWWWW
0036  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 WWEEWWWW
0037  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 EWEEWWWW
